iter	Passed	Remaining
0	1	138
1	2	113
2	3	118
3	4	119
4	6	117
5	7	122
6	8	119
7	10	117
8	12	124
9	14	127
10	15	123
11	16	121
12	17	118
13	19	117
14	20	118
15	22	115
16	23	113
17	24	111
18	27	115
19	28	115
20	30	115
21	32	114
22	34	114
23	35	113
24	37	112
25	39	111
26	40	110
27	42	109
28	44	108
29	45	106
30	46	104
31	48	102
32	49	101
33	51	99
34	52	97
35	54	96
36	55	94
37	56	92
38	57	90
39	58	88
40	59	86
41	60	83
42	61	81
43	62	79
44	63	77
45	64	75
46	65	74
47	66	72
48	68	71
49	69	69
50	70	67
51	71	66
52	72	64
53	73	62
54	74	60
55	74	58
56	75	57
57	76	55
58	77	54
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	21
82	101	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
